id,currentteamid,playername,currentteam,position,lastupdated,goals,assists,pim,shots,games,hits,powerplaygoals,powerplaypoints,faceoffpct,blocked,plusminus,points,timeonicepergame
8474090,1,Brendan Smith,New Jersey Devils,Defenseman,"10/27/2022, 19:12:25",0.0,0.0,15.0,5.0,7.0,13.0,0.0,0.0,0.0,8.0,-3.0,0.0,12.19
8475193,1,Tomas Tatar,New Jersey Devils,Left Wing,"10/27/2022, 19:12:25",1.0,1.0,6.0,21.0,7.0,9.0,0.0,0.0,44.44,5.0,-1.0,2.0,14.4
8475287,1,Erik Haula,New Jersey Devils,Left Wing,"10/27/2022, 19:12:25",0.0,2.0,2.0,24.0,7.0,10.0,0.0,0.0,63.16,6.0,0.0,2.0,17.05
8476292,1,Ondrej Palat,New Jersey Devils,Left Wing,"10/27/2022, 19:12:26",3.0,0.0,0.0,8.0,6.0,12.0,0.0,0.0,0.0,4.0,-1.0,3.0,18.42
8476462,1,Dougie Hamilton,New Jersey Devils,Defenseman,"10/27/2022, 19:12:26",2.0,4.0,6.0,22.0,7.0,6.0,0.0,1.0,0.0,5.0,-1.0,6.0,21.23
8476923,1,Damon Severson,New Jersey Devils,Defenseman,"10/27/2022, 19:12:26",1.0,1.0,2.0,13.0,7.0,4.0,0.0,0.0,0.0,8.0,-4.0,2.0,19.29
8477425,1,Miles Wood,New Jersey Devils,Left Wing,"10/27/2022, 19:12:26",1.0,0.0,6.0,15.0,7.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,12.49
8477435,1,Ryan Graves,New Jersey Devils,Defenseman,"10/27/2022, 19:12:26",0.0,3.0,0.0,10.0,7.0,9.0,0.0,0.0,0.0,9.0,4.0,3.0,17.05
8478399,1,Jonas Siegenthaler,New Jersey Devils,Defenseman,"10/27/2022, 19:12:26",0.0,2.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,10.0,1.0,2.0,20.36
8478507,1,John Marino,New Jersey Devils,Defenseman,"10/27/2022, 19:12:26",0.0,3.0,2.0,9.0,7.0,7.0,0.0,0.0,0.0,5.0,4.0,3.0,21.03
8479407,1,Jesper Bratt,New Jersey Devils,Left Wing,"10/27/2022, 19:12:27",3.0,9.0,2.0,21.0,7.0,0.0,1.0,3.0,0.0,1.0,5.0,12.0,17.24
8479414,1,Nathan Bastian,New Jersey Devils,Right Wing,"10/27/2022, 19:12:27",1.0,0.0,2.0,10.0,6.0,18.0,0.0,0.0,50.0,1.0,-1.0,1.0,11.0
8479415,1,Michael McLeod,New Jersey Devils,Center,"10/27/2022, 19:12:27",0.0,2.0,0.0,6.0,7.0,10.0,0.0,0.0,52.86,1.0,0.0,2.0,9.53
8480002,1,Nico Hischier,New Jersey Devils,Center,"10/27/2022, 19:12:27",3.0,4.0,2.0,20.0,6.0,6.0,0.0,1.0,61.9,3.0,2.0,7.0,19.04
8480003,1,Jesper Boqvist,New Jersey Devils,Center,"10/27/2022, 19:12:27",0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,60.0,2.0,-1.0,0.0,10.59
8480188,1,Fabian Zetterlund,New Jersey Devils,Left Wing,"10/27/2022, 19:12:27",0.0,1.0,0.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,11.4
8480860,1,Kevin Bahl,New Jersey Devils,Defenseman,"10/27/2022, 19:12:27",0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,10.27
8481068,1,Yegor Sharangovich,New Jersey Devils,Center,"10/27/2022, 19:12:28",2.0,2.0,0.0,17.0,7.0,3.0,0.0,0.0,33.33,8.0,0.0,4.0,16.0
8481559,1,Jack Hughes,New Jersey Devils,Center,"10/27/2022, 19:12:28",2.0,3.0,0.0,31.0,7.0,1.0,0.0,1.0,35.85,1.0,-1.0,5.0,20.07
8482110,1,Dawson Mercer,New Jersey Devils,Center,"10/27/2022, 19:12:28",3.0,1.0,6.0,21.0,7.0,4.0,1.0,2.0,42.86,4.0,-4.0,4.0,16.07
8482125,1,Alexander Holtz,New Jersey Devils,Right Wing,"10/27/2022, 19:12:28",1.0,0.0,2.0,6.0,4.0,2.0,1.0,1.0,0.0,1.0,-2.0,1.0,10.35
8470610,2,Zach Parise,New York Islanders,Left Wing,"10/27/2022, 19:12:28",1.0,1.0,0.0,15.0,7.0,5.0,0.0,0.0,33.33,7.0,3.0,2.0,16.02
8473504,2,Cal Clutterbuck,New York Islanders,Right Wing,"10/27/2022, 19:12:28",1.0,0.0,4.0,6.0,6.0,31.0,0.0,0.0,0.0,3.0,2.0,1.0,11.51
8474573,2,Josh Bailey,New York Islanders,Right Wing,"10/27/2022, 19:12:29",1.0,0.0,0.0,11.0,6.0,1.0,0.0,0.0,20.0,2.0,1.0,1.0,14.36
8474709,2,Matt Martin,New York Islanders,Left Wing,"10/27/2022, 19:12:29",1.0,2.0,2.0,5.0,7.0,25.0,0.0,0.0,33.33,2.0,2.0,3.0,9.54
8475151,2,Kyle Palmieri,New York Islanders,Center,"10/27/2022, 19:12:29",2.0,1.0,2.0,13.0,7.0,11.0,0.0,0.0,37.5,2.0,-2.0,3.0,16.56
8475231,2,Casey Cizikas,New York Islanders,Center,"10/27/2022, 19:12:29",0.0,0.0,0.0,6.0,7.0,27.0,0.0,0.0,55.29,10.0,2.0,0.0,13.24
8475314,2,Anders Lee,New York Islanders,Left Wing,"10/27/2022, 19:12:29",4.0,3.0,14.0,21.0,7.0,14.0,2.0,2.0,55.56,7.0,0.0,7.0,17.01
8475754,2,Brock Nelson,New York Islanders,Center,"10/27/2022, 19:12:29",0.0,6.0,6.0,18.0,7.0,5.0,0.0,2.0,49.58,6.0,0.0,6.0,18.06
8476419,2,Jean-Gabriel Pageau,New York Islanders,Center,"10/27/2022, 19:12:29",0.0,4.0,2.0,9.0,7.0,24.0,0.0,0.0,57.5,6.0,-1.0,4.0,16.51
8476429,2,Scott Mayfield,New York Islanders,Defenseman,"10/27/2022, 19:12:29",2.0,0.0,2.0,12.0,7.0,7.0,0.0,0.0,0.0,11.0,0.0,2.0,17.46
8476917,2,Adam Pelech,New York Islanders,Defenseman,"10/27/2022, 19:12:30",0.0,4.0,8.0,8.0,7.0,14.0,0.0,0.0,0.0,10.0,1.0,4.0,20.43
8477506,2,Ryan Pulock,New York Islanders,Defenseman,"10/27/2022, 19:12:30",1.0,2.0,0.0,13.0,7.0,14.0,0.0,0.0,0.0,10.0,5.0,3.0,20.0
8477527,2,Ross Johnston,New York Islanders,Left Wing,"10/27/2022, 19:12:30",0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,-1.0,0.0,10.31
8478373,2,Nikita Soshnikov,New York Islanders,Right Wing,"10/27/2022, 19:12:30",0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,-2.0,0.0,10.46
8478445,2,Mathew Barzal,New York Islanders,Center,"10/27/2022, 19:12:30",0.0,7.0,4.0,18.0,7.0,3.0,0.0,3.0,32.65,2.0,-3.0,7.0,18.14
8478463,2,Anthony Beauvillier,New York Islanders,Left Wing,"10/27/2022, 19:12:30",2.0,1.0,0.0,13.0,6.0,7.0,0.0,0.0,0.0,2.0,-2.0,3.0,16.24
8480071,2,Robin Salo,New York Islanders,Defenseman,"10/27/2022, 19:12:31",2.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,13.56
8480222,2,Sebastian Aho,New York Islanders,Defenseman,"10/27/2022, 19:12:31",0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,-2.0,0.0,13.3
8480789,2,Oliver Wahlstrom,New York Islanders,Right Wing,"10/27/2022, 19:12:31",3.0,1.0,2.0,18.0,6.0,11.0,0.0,0.0,80.0,1.0,2.0,4.0,12.51
8480865,2,Noah Dobson,New York Islanders,Defenseman,"10/27/2022, 19:12:31",2.0,3.0,0.0,19.0,7.0,6.0,1.0,2.0,0.0,10.0,-3.0,5.0,21.11
8481014,2,Alexander Romanov,New York Islanders,Defenseman,"10/27/2022, 19:12:31",0.0,0.0,4.0,12.0,7.0,15.0,0.0,0.0,0.0,23.0,1.0,0.0,19.54
8471817,3,Ryan Reaves,New York Rangers,Right Wing,"10/27/2022, 19:12:31",0.0,0.0,5.0,2.0,8.0,25.0,0.0,0.0,0.0,4.0,-4.0,0.0,8.08
8475184,3,Chris Kreider,New York Rangers,Left Wing,"10/27/2022, 19:12:32",2.0,2.0,2.0,24.0,8.0,15.0,1.0,2.0,70.0,3.0,-2.0,4.0,20.06
8476389,3,Vincent Trocheck,New York Rangers,Center,"10/27/2022, 19:12:32",2.0,4.0,2.0,30.0,8.0,24.0,1.0,2.0,56.49,4.0,-4.0,6.0,20.42
8476459,3,Mika Zibanejad,New York Rangers,Center,"10/27/2022, 19:12:32",4.0,4.0,0.0,42.0,8.0,5.0,3.0,5.0,52.27,3.0,-3.0,8.0,21.21
8476624,3,Barclay Goodrow,New York Rangers,Center,"10/27/2022, 19:12:32",2.0,2.0,4.0,15.0,8.0,15.0,0.0,0.0,44.78,3.0,2.0,4.0,15.01
8476885,3,Jacob Trouba,New York Rangers,Defenseman,"10/27/2022, 19:12:32",0.0,3.0,6.0,25.0,8.0,29.0,0.0,0.0,0.0,21.0,2.0,3.0,22.16
8476918,3,Jimmy Vesey,New York Rangers,Left Wing,"10/27/2022, 19:12:32",0.0,1.0,0.0,9.0,7.0,8.0,0.0,0.0,20.0,4.0,1.0,1.0,11.42
8477846,3,Ryan Carpenter,New York Rangers,Center,"10/27/2022, 19:12:32",0.0,1.0,2.0,7.0,7.0,16.0,0.0,0.0,64.71,2.0,-4.0,1.0,9.19
8478104,3,Sammy Blais,New York Rangers,Left Wing,"10/27/2022, 19:12:33",0.0,1.0,2.0,4.0,5.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,11.24
8478550,3,Artemi Panarin,New York Rangers,Left Wing,"10/27/2022, 19:12:33",4.0,8.0,4.0,25.0,8.0,3.0,1.0,6.0,0.0,2.0,-4.0,12.0,20.45
8479323,3,Adam Fox,New York Rangers,Defenseman,"10/27/2022, 19:12:33",2.0,5.0,4.0,19.0,8.0,3.0,0.0,1.0,0.0,14.0,1.0,7.0,24.21
8479324,3,Ryan Lindgren,New York Rangers,Defenseman,"10/27/2022, 19:12:33",0.0,2.0,8.0,13.0,8.0,11.0,0.0,0.0,0.0,19.0,0.0,2.0,18.37
8479328,3,Julien Gauthier,New York Rangers,Right Wing,"10/27/2022, 19:12:33",0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,10.44
8479333,3,Libor Hajek,New York Rangers,Defenseman,"10/27/2022, 19:12:33",0.0,0.0,0.0,4.0,3.0,5.0,0.0,0.0,0.0,1.0,-1.0,0.0,12.41
8480078,3,Filip Chytil,New York Rangers,Center,"10/27/2022, 19:12:34",2.0,1.0,6.0,9.0,6.0,6.0,0.0,0.0,51.02,5.0,3.0,3.0,12.25
8480817,3,K'Andre Miller,New York Rangers,Defenseman,"10/27/2022, 19:12:34",0.0,2.0,4.0,14.0,8.0,16.0,0.0,0.0,0.0,7.0,0.0,2.0,22.11
8480833,3,Vitali Kravtsov,New York Rangers,Right Wing,"10/27/2022, 19:12:34",0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,7.54
8481554,3,Kaapo Kakko,New York Rangers,Right Wing,"10/27/2022, 19:12:34",2.0,0.0,2.0,15.0,8.0,6.0,0.0,0.0,0.0,8.0,-3.0,2.0,15.57
8481708,3,Zac Jones,New York Rangers,Defenseman,"10/27/2022, 19:12:34",0.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,15.42
8482073,3,Braden Schneider,New York Rangers,Defenseman,"10/27/2022, 19:12:34",0.0,0.0,0.0,5.0,8.0,13.0,0.0,0.0,0.0,10.0,-4.0,0.0,13.53
8482109,3,Alexis Lafrenière,New York Rangers,Left Wing,"10/27/2022, 19:12:34",1.0,2.0,2.0,26.0,8.0,12.0,0.0,0.0,71.43,1.0,0.0,3.0,16.42
8474037,4,James van Riemsdyk,Philadelphia Flyers,Left Wing,"10/27/2022, 19:12:35",2.0,3.0,6.0,7.0,6.0,1.0,2.0,3.0,0.0,3.0,5.0,5.0,15.3
8475176,4,Ryan Ellis,Philadelphia Flyers,Defenseman,"10/27/2022, 19:12:35",,,,,,,,,,,,,
8476461,4,Sean Couturier,Philadelphia Flyers,Center,"10/27/2022, 19:12:35",,,,,,,,,,,,,
8474027,4,Justin Braun,Philadelphia Flyers,Defenseman,"10/27/2022, 19:12:35",0.0,0.0,7.0,4.0,6.0,4.0,0.0,0.0,0.0,5.0,-1.0,0.0,17.24
8474715,4,Cam Atkinson,Philadelphia Flyers,Right Wing,"10/27/2022, 19:12:35",,,,,,,,,,,,,
8475235,4,Nicolas Deslauriers,Philadelphia Flyers,Left Wing,"10/27/2022, 19:12:35",0.0,0.0,15.0,6.0,6.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,9.3
8475763,4,Kevin Hayes,Philadelphia Flyers,Center,"10/27/2022, 19:12:35",1.0,7.0,0.0,13.0,6.0,1.0,0.0,3.0,41.67,0.0,2.0,8.0,18.29
8476310,4,Lukas Sedlak,Philadelphia Flyers,Center,"10/27/2022, 19:12:35",0.0,0.0,0.0,6.0,5.0,7.0,0.0,0.0,44.83,5.0,1.0,0.0,9.14
8476372,4,Nick Seeler,Philadelphia Flyers,Defenseman,"10/27/2022, 19:12:36",1.0,0.0,7.0,7.0,6.0,13.0,0.0,0.0,0.0,14.0,0.0,1.0,14.34
8476872,4,Scott Laughton,Philadelphia Flyers,Center,"10/27/2022, 19:12:36",2.0,0.0,4.0,11.0,6.0,15.0,0.0,0.0,46.94,4.0,0.0,2.0,17.49
8477499,4,Rasmus Ristolainen,Philadelphia Flyers,Defenseman,"10/27/2022, 19:12:36",,,,,,,,,,,,,
8477948,4,Travis Sanheim,Philadelphia Flyers,Defenseman,"10/27/2022, 19:12:36",0.0,0.0,0.0,4.0,6.0,9.0,0.0,0.0,0.0,13.0,1.0,0.0,21.2
8477950,4,Tony DeAngelo,Philadelphia Flyers,Defenseman,"10/27/2022, 19:12:36",1.0,4.0,4.0,10.0,6.0,2.0,1.0,3.0,0.0,13.0,1.0,5.0,24.46
8478439,4,Travis Konecny,Philadelphia Flyers,Right Wing,"10/27/2022, 19:12:36",4.0,2.0,2.0,20.0,6.0,5.0,1.0,2.0,33.33,3.0,2.0,6.0,18.58
8478500,4,Ivan Provorov,Philadelphia Flyers,Defenseman,"10/27/2022, 19:12:36",0.0,5.0,4.0,17.0,6.0,15.0,0.0,1.0,0.0,20.0,3.0,5.0,22.58
8479322,4,Wade Allison,Philadelphia Flyers,Right Wing,"10/27/2022, 19:12:37",1.0,0.0,4.0,12.0,6.0,12.0,0.0,0.0,0.0,6.0,1.0,1.0,14.5
8479356,4,Kieffer Bellows,Philadelphia Flyers,Left Wing,"10/27/2022, 19:12:37",0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,-1.0,0.0,7.16
8479550,4,Tanner Laczynski,Philadelphia Flyers,Center,"10/27/2022, 19:12:37",0.0,2.0,0.0,3.0,6.0,2.0,0.0,0.0,66.67,0.0,-1.0,2.0,10.03
8479772,4,Zack MacEwen,Philadelphia Flyers,Center,"10/27/2022, 19:12:37",1.0,1.0,4.0,9.0,4.0,19.0,0.0,0.0,33.33,2.0,1.0,2.0,13.43
8480015,4,Owen Tippett,Philadelphia Flyers,Right Wing,"10/27/2022, 19:12:37",0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,4.2
8480028,4,Morgan Frost,Philadelphia Flyers,Center,"10/27/2022, 19:12:37",2.0,1.0,4.0,10.0,6.0,10.0,0.0,0.0,40.0,5.0,-1.0,3.0,14.59
8480220,4,Noah Cates,Philadelphia Flyers,Left Wing,"10/27/2022, 19:12:38",1.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,34.95,9.0,1.0,1.0,18.1
8480797,4,Joel Farabee,Philadelphia Flyers,Left Wing,"10/27/2022, 19:12:38",1.0,2.0,0.0,19.0,6.0,8.0,0.0,0.0,100.0,5.0,-1.0,3.0,20.26
8481178,4,Egor Zamula,Philadelphia Flyers,Defenseman,"10/27/2022, 19:12:38",0.0,2.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,14.37
8476927,5,Teddy Blueger,Pittsburgh Penguins,Center,"10/27/2022, 19:12:38",,,,,,,,,,,,,
8478017,5,Mark Friedman,Pittsburgh Penguins,Defenseman,"10/27/2022, 19:12:38",,,,,,,,,,,,,
8470604,5,Jeff Carter,Pittsburgh Penguins,Center,"10/27/2022, 19:12:38",2.0,4.0,2.0,16.0,7.0,9.0,0.0,3.0,61.47,9.0,0.0,6.0,16.42
8471215,5,Evgeni Malkin,Pittsburgh Penguins,Center,"10/27/2022, 19:12:38",4.0,3.0,4.0,31.0,7.0,1.0,2.0,3.0,55.79,2.0,2.0,7.0,18.17
8471675,5,Sidney Crosby,Pittsburgh Penguins,Center,"10/27/2022, 19:12:39",4.0,7.0,4.0,24.0,7.0,11.0,0.0,3.0,45.3,3.0,4.0,11.0,19.08
8471724,5,Kris Letang,Pittsburgh Penguins,Defenseman,"10/27/2022, 19:12:39",0.0,4.0,0.0,12.0,7.0,12.0,0.0,1.0,0.0,12.0,-1.0,4.0,23.15
8473507,5,Jeff Petry,Pittsburgh Penguins,Defenseman,"10/27/2022, 19:12:39",1.0,3.0,10.0,14.0,7.0,18.0,1.0,1.0,0.0,16.0,2.0,4.0,20.37
8475208,5,Brian Dumoulin,Pittsburgh Penguins,Defenseman,"10/27/2022, 19:12:39",0.0,2.0,0.0,9.0,7.0,8.0,0.0,0.0,0.0,18.0,2.0,2.0,20.33
8475722,5,Jason Zucker,Pittsburgh Penguins,Left Wing,"10/27/2022, 19:12:39",1.0,5.0,4.0,13.0,6.0,18.0,0.0,2.0,33.33,2.0,3.0,6.0,15.41
8475810,5,Bryan Rust,Pittsburgh Penguins,Right Wing,"10/27/2022, 19:12:39",3.0,3.0,2.0,23.0,7.0,5.0,1.0,2.0,0.0,2.0,1.0,6.0,16.51
8476326,5,Josh Archibald,Pittsburgh Penguins,Right Wing,"10/27/2022, 19:12:39",1.0,0.0,0.0,9.0,7.0,25.0,0.0,0.0,0.0,2.0,1.0,1.0,10.04
8476483,5,Rickard Rakell,Pittsburgh Penguins,Right Wing,"10/27/2022, 19:12:40",3.0,1.0,0.0,26.0,7.0,8.0,1.0,1.0,100.0,7.0,8.0,4.0,18.5
8476934,5,Brock McGinn,Pittsburgh Penguins,Left Wing,"10/27/2022, 19:12:40",1.0,0.0,2.0,10.0,7.0,9.0,0.0,0.0,0.0,4.0,0.0,1.0,12.4
8477244,5,Chad Ruhwedel,Pittsburgh Penguins,Defenseman,"10/27/2022, 19:12:40",0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,-1.0,0.0,10.58
8477404,5,Jake Guentzel,Pittsburgh Penguins,Left Wing,"10/27/2022, 19:12:40",3.0,2.0,4.0,17.0,4.0,4.0,1.0,1.0,60.0,0.0,4.0,5.0,17.36
8477953,5,Kasperi Kapanen,Pittsburgh Penguins,Right Wing,"10/27/2022, 19:12:40",1.0,4.0,0.0,11.0,7.0,11.0,0.0,0.0,50.0,0.0,0.0,5.0,13.5
8477969,5,Marcus Pettersson,Pittsburgh Penguins,Defenseman,"10/27/2022, 19:12:40",0.0,4.0,4.0,10.0,7.0,17.0,0.0,0.0,0.0,13.0,3.0,4.0,18.21
8478046,5,Danton Heinen,Pittsburgh Penguins,Left Wing,"10/27/2022, 19:12:41",3.0,3.0,2.0,18.0,7.0,4.0,1.0,2.0,50.0,2.0,4.0,6.0,14.55
8479465,5,Drake Caggiula,Pittsburgh Penguins,Center,"10/27/2022, 19:12:41",0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,-1.0,0.0,8.08
8480058,5,Pierre-Olivier Joseph,Pittsburgh Penguins,Defenseman,"10/27/2022, 19:12:41",0.0,3.0,4.0,9.0,6.0,9.0,0.0,0.0,0.0,4.0,5.0,3.0,15.13
8480068,5,Ryan Poehling,Pittsburgh Penguins,Center,"10/27/2022, 19:12:41",1.0,1.0,0.0,5.0,7.0,3.0,0.0,0.0,46.51,3.0,2.0,2.0,11.34
8480172,5,Jan Rutta,Pittsburgh Penguins,Defenseman,"10/27/2022, 19:12:41",2.0,1.0,2.0,6.0,7.0,9.0,0.0,0.0,0.0,6.0,8.0,3.0,16.35
8481591,5,Sam Poulin,Pittsburgh Penguins,Right Wing,"10/27/2022, 19:12:41",0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,50.0,1.0,-2.0,1.0,12.17
8479325,6,Charlie McAvoy,Boston Bruins,Defenseman,"10/27/2022, 19:12:42",,,,,,,,,,,,,
8470638,6,Patrice Bergeron,Boston Bruins,Center,"10/27/2022, 19:12:42",4.0,3.0,2.0,26.0,7.0,6.0,1.0,2.0,62.79,9.0,6.0,7.0,19.0
8471276,6,David Krejci,Boston Bruins,Center,"10/27/2022, 19:12:42",2.0,6.0,4.0,10.0,7.0,5.0,1.0,4.0,57.5,5.0,-3.0,8.0,18.07
8471873,6,Anton Stralman,Boston Bruins,Defenseman,"10/27/2022, 19:12:42",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,-2.0,0.0,18.29
8473422,6,Nick Foligno,Boston Bruins,Left Wing,"10/27/2022, 19:12:42",3.0,1.0,2.0,8.0,7.0,15.0,0.0,1.0,66.67,3.0,0.0,4.0,12.17
8475225,6,Craig Smith,Boston Bruins,Center,"10/27/2022, 19:12:42",0.0,2.0,2.0,6.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,11.35
8475745,6,Charlie Coyle,Boston Bruins,Center,"10/27/2022, 19:12:42",1.0,2.0,2.0,10.0,7.0,7.0,0.0,0.0,56.79,4.0,2.0,3.0,17.44
8475762,6,Derek Forbort,Boston Bruins,Defenseman,"10/27/2022, 19:12:42",1.0,0.0,4.0,6.0,7.0,17.0,0.0,0.0,0.0,14.0,1.0,1.0,20.38
8475791,6,Taylor Hall,Boston Bruins,Left Wing,"10/27/2022, 19:12:42",4.0,2.0,8.0,16.0,7.0,2.0,1.0,1.0,50.0,2.0,2.0,6.0,16.38
8476422,6,Mike Reilly,Boston Bruins,Defenseman,"10/27/2022, 19:12:43",0.0,1.0,0.0,8.0,7.0,12.0,0.0,0.0,0.0,9.0,2.0,1.0,17.06
8476854,6,Hampus Lindholm,Boston Bruins,Defenseman,"10/27/2022, 19:12:43",2.0,3.0,8.0,11.0,7.0,11.0,0.0,1.0,0.0,8.0,7.0,5.0,24.13
8476891,6,Matt Grzelcyk,Boston Bruins,Defenseman,"10/27/2022, 19:12:43",0.0,3.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,6.0,3.0,3.0,19.23
8477365,6,Connor Clifton,Boston Bruins,Defenseman,"10/27/2022, 19:12:43",0.0,4.0,14.0,15.0,7.0,23.0,0.0,0.0,0.0,11.0,2.0,4.0,21.35
8477931,6,Tomas Nosek,Boston Bruins,Left Wing,"10/27/2022, 19:12:43",0.0,0.0,4.0,9.0,7.0,8.0,0.0,0.0,55.38,1.0,2.0,0.0,13.29
8477956,6,David Pastrnak,Boston Bruins,Right Wing,"10/27/2022, 19:12:43",5.0,7.0,4.0,40.0,7.0,6.0,1.0,4.0,50.0,2.0,2.0,12.0,20.09
8478401,6,Pavel Zacha,Boston Bruins,Center,"10/27/2022, 19:12:43",1.0,3.0,0.0,16.0,7.0,2.0,1.0,1.0,53.85,2.0,-2.0,4.0,16.03
8478415,6,Jakub Zboril,Boston Bruins,Defenseman,"10/27/2022, 19:12:44",0.0,0.0,0.0,4.0,6.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,15.33
8478421,6,A.J. Greer,Boston Bruins,Left Wing,"10/27/2022, 19:12:44",3.0,2.0,2.0,9.0,6.0,20.0,0.0,0.0,0.0,2.0,2.0,5.0,10.2
8478443,6,Brandon Carlo,Boston Bruins,Defenseman,"10/27/2022, 19:12:44",0.0,0.0,4.0,3.0,3.0,6.0,0.0,0.0,0.0,5.0,1.0,0.0,14.39
8478498,6,Jake DeBrusk,Boston Bruins,Left Wing,"10/27/2022, 19:12:44",2.0,3.0,0.0,28.0,6.0,5.0,0.0,0.0,50.0,2.0,4.0,5.0,18.09
8479365,6,Trent Frederic,Boston Bruins,Center,"10/27/2022, 19:12:44",1.0,1.0,9.0,6.0,6.0,9.0,0.0,0.0,0.0,4.0,3.0,2.0,10.03
8480021,6,Jack Studnicka,Boston Bruins,Center,"10/27/2022, 19:12:44",0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,8.01
8480035,7,Henri Jokiharju,Buffalo Sabres,Defenseman,"10/27/2022, 19:12:44",0.0,1.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,15.49
8480807,7,Mattias Samuelsson,Buffalo Sabres,Defenseman,"10/27/2022, 19:12:45",0.0,0.0,2.0,7.0,5.0,11.0,0.0,0.0,0.0,11.0,6.0,0.0,19.35
8473449,7,Kyle Okposo,Buffalo Sabres,Right Wing,"10/27/2022, 19:12:45",0.0,2.0,2.0,10.0,6.0,4.0,0.0,0.0,50.0,1.0,1.0,2.0,14.36
8475772,7,Riley Sheahan,Buffalo Sabres,Center,"10/27/2022, 19:12:45",,,,,,,,,,,,,
8475784,7,Jeff Skinner,Buffalo Sabres,Left Wing,"10/27/2022, 19:12:45",0.0,2.0,2.0,13.0,6.0,2.0,0.0,0.0,45.45,2.0,2.0,2.0,16.25
8476878,7,Zemgus Girgensons,Buffalo Sabres,Left Wing,"10/27/2022, 19:12:45",2.0,0.0,2.0,6.0,6.0,2.0,0.0,0.0,52.94,7.0,2.0,2.0,12.15
